cyclone,Peak,Peak,, Finds the largest of a stream of numbers,math,,[[message]]
vanilla,tabread4~,tabread4~,, four-point interpolating table read,audio oscillators and tables,,[[signal]]
creb,dsfosc~,dsfosc~,,(finite) discrete summation formula oscillator,abstractions,,[[signal]]
ggee,envgen,envgen,,(not so) simple envelope generator,tables,,[[message]]
zexy,repack,repack,,(re)pack atoms to packages of a given size,,glue,[[message]]
gem,pix_roll,pix_roll,,(sc)roll through an image (wrapping),pixes,,[[gem list]]
jasch_lib,(underscore),_,,(underscore) lazy man's prependeder,,,[[message]]
vanilla,template,template,,(use struct now),obsolete,,[[message]]
vanilla,scope~ (vanilla),scope~ ,,(use tabwrite~ now),obsolete,,[[signal]]
maxlib,multi,multi,,* for several inputs,math,,[[message]]
maxlib,divide,divide,,/ for several inputs,math,,[[message]]
pdmtl,sample.filer,sample.filer,,"[soundfiler] adapted for the ""sample"" format.",sample edit,Flags: sample_id,[[message]]
smlib,threshold,threshold,,1 trigger threshold,,,
iemlib,tgl,tgl,,2 state toggle,GUI,now vanilla,[[message]]
unauthorized,grid,grid,,2-dimensional control object,GUI,,
gem,pix_biquad,pix_biquad,,2p2z-filter for subsequent images,pixes,,[[gem list]]
maxlib,pulse,pulse,,"a ""better"" metro",time,,[[message]]
fftease,cavoc27~,cavoc27~,,a 27-rule cellular automata object ,"audio oscillators, tables",,[[signal]]
gem,pix_backlight,pix_backlight,,a backlight photo effect,pixes,,[[gem list]]
ggee,button,button,,a bang with a label,,,
pdmtl,gems.text,gems.text,,A basic text abstraction.,gems edit,"Flags: @rguments, wraps Gem's text3d. ",[[message]]
creb,64k,64k,,a beat shuffler using raw 64k/break sample banks,abstractions,,[[message]]
unauthorized,blinkenlights,blinkenlights,,a blinkenlights movies player,,,
cyclone,buffir~,buffir~,,a buffer~ based FIR (finite impulse response),filter,,[[signal]]
creb,junction~,junction~,,a circulant lossless signal junction,signal,,[[signal]]
fftease,codepend~,codepend~,,a classic block convolution object ncomb~,signal filters,,[[signal]]
pidip,pdp_cmap,pdp_cmap,,a color mapper,,,[[message]]
pidip,pdp_colorgrid,pdp_colorgrid,,a color picker,,,[[message]]
pdmtl,input.color.grid_,input.color.grid_,,A color selector. ,input edit,,[[message]]
pidip,pdp_ctrack,pdp_ctrack,,a color tracker,,,[[message]]
pdmtl,count.up&down,count.up&down,,A counter that counts up and down. ,count edit,,[[message]]
