Alopecurus myosuroides
Apera spica-venti
Avena fatua
Bromus arvensis
Bromus commutatus
Bromus secalinus
Bromus sterilis
Digitaria sanguinalis
Echinochloa crus-galli
Juncus bufonius
Panicum dichotomiflorum
Poa annua
Poa trivialis
Setaria glauca
Setaria viridis
Abutilon theophrasti
Aethusa cynapium
Amaranthus blitoides
Amaranthus lividus
Amaranthus retroflexus
Anagallis arvensis
Anchusa arvensis  
Anchusa officinalis
Lycopsis arvensis
Anthemis arvensis
Aphanes arvensis
Arabidopsis thaliana
Atriplex hastata
Atriplex micrantha
Atriplex patula
Bidens tripartita
Chenopodium album
Chenopodium ficifolium
Chenopodium hybridum
Chenopodium polyspermum
Chrysanthemum segetum
Conium maculatum
Consolida regalis
Datura stramonium
Daucus carota
Descurainia sophia
Erodium cicutarium
Euphorbia cyparissias
Euphorbia helioscopia
Fumaria officinalis
Galeopsis ladanum
Galeopsis tetrahit
Galinsoga ciliata
Galinsoga parviflora
Galium aparine
Geranium dissectum
Geranium pusillum
Geranium rotundifolium
Lamium ampexicaule
Lamium purpureum
Lapsana communis
Lithoserpermum arvense
Malva neglecta
Malva sylvestris
Matricaria recutita ,
Matricaria chamomilla
Matricaria discoidea 
Matricaria suaveolens
Matricaria inodora
Mercuriallis annua
Myosotis arvensis
Papaver rhoeas
Polygonum aviculare
Polygonum convolvulus 
Fallopia convolvulus
Polygonum lapathifolium
Polygonum persicaria
Portulaca oleracea
Raphanus raphanistrum
Rumex obtusifolius
Senecio vulgaris
Sinapis arvensis
Sisymbrium loeselii
Sisymbrium officinale
Solanum nigrum
Sonchus oleraceae
Stachys arvensis
Stellaria media
Thlaspi arvense
Urtica urens
Veronica agrestis
Veronica arvensis
Veronica hederaefolia
Veronica persica
Veronica triphyllos
Vicia villosa
Viola arvensis 
Viola tricolor
Aegopodium podagraria
Barbarea vulgaris
Bunias orientalis
Capsella bursa-pastoris
Centaurea cyanus
Cirsium arvense
Conium maculatum
Convolvulus arvensis
Convolvulus sepium 
Calystegia sepium
Equisetum arvense
Erigeron canadensis 
Conyza canadensis
Heracleum sphondylium
Lathyrus tuberosus
Linaria vulgaris
Malva sylvestris
Plantago lanzeolata
Plantago major
Polygonum amphibium
Ranunculus repens
Rumex acetosella
Rumex crispus
Sonchus arvensis
Tussilago farfara
Urtica dioica
Vicia cracca
