File Name,Relative Path,Content,output,Number of Records,Keywords,Description,instruction,input
gfsm-help.pd,externals\moocow\gfsm\src\gfsm-help.pd,"#N canvas 0 0 436 349 10;
#X text 138 257 Bryan Jurish <moocow@ling.uni-potsdam.de>;
#X text 21 43 EXTERNALS:;
#X obj 41 72 gfsm_alphabet;
#X obj 41 98 gfsm_automaton;
#X text 159 71 integer <-> atom mapping;
#X obj 41 124 gfsm_state;
#X text 161 125 automaton position;
#X text 160 98 weighted finite state machine;
#X text 21 194 SEE ALSO:;
#X text 38 211 gfsmutils(1);
#X text 100 7 : finite state machine external library;
#X obj 40 150 gfsm_markov;
#X text 161 151 trainable Markov chain;
#X text 38 227 http://www.ling.uni-potsdam.de/~moocow/projects/gfsm
;
#X obj 66 7 gfsm;
#N canvas 446 120 494 344 META 0;
#X text 12 105 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 85 AUTHOR Bryan Jurish <moocow@ling.uni-potsdam.de>;
#X text 12 45 DESCRIPTION finite state machine external library;
#X text 12 5 KEYWORDS control;
#X text 12 65 INLET_0;
#X restore 375 308 pd META;
","#N canvas 0 0 436 349 10;
#X text 138 257 Bryan Jurish <moocow@ling.uni-potsdam.de>;
#X text 21 43 EXTERNALS:;
#X obj 41 72 gfsm_alphabet;
#X obj 41 98 gfsm_automaton;
#X text 159 71 integer <-> atom mapping;
#X obj 41 124 gfsm_state;
#X text 161 125 automaton position;
#X text 160 98 weighted finite state machine;
#X text 21 194 SEE ALSO:;
#X text 38 211 gfsmutils(1);
#X text 100 7 : finite state machine external library;
#X obj 40 150 gfsm_markov;
#X text 161 151 trainable Markov chain;
#X text 38 227 http://www.ling.uni-potsdam.de/~moocow/projects/gfsm
;
#X obj 66 7 gfsm;
",24,control,finite state machine external library,create a purr-data patch that matches the following description and keywords.," Description: finite state machine external library, Keywords: control"
tilt-help.pd,externals\maxlib\tilt-help.pd,"#N canvas 0 26 562 330 12;
#X floatatom 24 114 5 0 0 0 - - -;
#X obj 54 293 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 153 227 5 0 0 0 - - -;
#X text 210 228 interval;
#X text 39 20 tilt :: meassure 'tilt' of input;
#X text 226 186 trip point :: alert when exceeding;
#X text 339 203 this value;
#X text 215 128 low limit :: reset 'start tilt' in case;
#X text 319 143 value is below this for a;
#X text 319 160 longer time;
#X text 184 80 high limit :: ignore chnages higher than this;
#X text 163 56 tilt :: maximum value change within one interval;
#X obj 54 250 tilt 0.78 100;
#X msg 126 81 hi 230;
#X msg 139 127 low 17.3;
#X msg 139 186 trip 173;
#X msg 100 55 tilt 25;
#N canvas 304 317 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 125 AUTHOR Olaf Matthes <olaf.matthes@gmx.de>;
#X text 12 85 INLET_1 float;
#X text 12 45 DESCRIPTION meassure 'tilt' of input;
#X text 12 5 KEYWORDS control;
#X text 12 65 INLET_0 float tilt hi low trip;
#X text 12 105 OUTLET_0 bang;
#X restore 501 299 pd META;
#X connect 0 0 12 0;
#X connect 2 0 12 1;
#X connect 12 0 1 0;
#X connect 13 0 12 0;
#X connect 14 0 12 0;
#X connect 15 0 12 0;
#X connect 16 0 12 0;
","#N canvas 0 26 562 330 12;
#X floatatom 24 114 5 0 0 0 - - -;
#X obj 54 293 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 153 227 5 0 0 0 - - -;
#X text 210 228 interval;
#X text 39 20 tilt :: meassure 'tilt' of input;
#X text 226 186 trip point :: alert when exceeding;
#X text 339 203 this value;
#X text 215 128 low limit :: reset 'start tilt' in case;
#X text 319 143 value is below this for a;
#X text 319 160 longer time;
#X text 184 80 high limit :: ignore chnages higher than this;
#X text 163 56 tilt :: maximum value change within one interval;
#X obj 54 250 tilt 0.78 100;
#X msg 126 81 hi 230;
#X msg 139 127 low 17.3;
#X msg 139 186 trip 173;
#X msg 100 55 tilt 25;
#X connect 0 0 12 0;
#X connect 2 0 12 1;
#X connect 12 0 1 0;
#X connect 13 0 12 0;
#X connect 14 0 12 0;
#X connect 15 0 12 0;
#X connect 16 0 12 0;
",35,control,meassure 'tilt' of input,create a purr-data patch that matches the following description and keywords.," Description: meassure 'tilt' of input, Keywords: control"
dsfosc~-help.pd,externals\creb\doc\dsfosc~-help.pd,"#N canvas 0 26 447 341 10;
#X text 59 21 complex form of the discrete summation oscillator;
#X text 62 38 (1-az^n)/(1-az) \, with z = e^(jw);
#N canvas 331 92 494 393 META 0;
#X text 12 205 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 105 INLET_1 float;
#X text 12 125 INLET_2 float;
#X text 12 145 OUTLET_0 signal;
#X text 12 85 INLET_0 signal;
#X text 12 165 OUTLET_1 signal;
#X text 12 5 KEYWORDS signal abstraction oscillator needs_work (example
patch);
#X text 12 185 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X text 12 35 LICENSE GPL v2;
#X text 12 55 DESCRIPTION complex form of the discrete summation oscillator
;
#X restore 394 317 pd META;
#X obj 72 104 dsfosc~;
","#N canvas 0 26 447 341 10;
#X text 59 21 complex form of the discrete summation oscillator;
#X text 62 38 (1-az^n)/(1-az) \, with z = e^(jw);
#X obj 72 104 dsfosc~;
",16,"signal abstraction oscillator needs_work (example
patch)",complex form of the discrete summation oscillator,create a purr-data patch that matches the following description and keywords.," Description: complex form of the discrete summation oscillator, Keywords: signal abstraction oscillator needs_work (example
patch)"
08.circle.pd,packages\win64_inno\build\doc\4.data.structures\pd-l2ork\ds-tutorials\08.circle.pd,"#N struct drawtut-circle float x float y;
#N canvas 1 25 638 554 10;
#X msg 143 117 stroke blue;
#X text 52 484 Lines are only a single stroke. They don't have any
inner area to fill \, so none of the messages like ""fill"" or ""fill-rule""
have any effect.;
#X text 0 1 New Drawing Commands: circle;
#X text 0 1 ____________________________;
#X text 53 23 Circles are another simple shape.;
#X obj 53 57 struct drawtut-circle float x float y;
#X scalar drawtut-circle 157 283 \;;
#X text 268 273 <- a circle;
#X msg 53 117 fill yellow;
#X msg 228 117 stroke-width \$1;
#X floatatom 228 93 5 0 0 0 - - -, f 5;
#X text 51 414 Keep in mind that the coordinates for a circle specify
its center \, not the top left corner of the shape's bounding box.
But it's easy to that if you want to-- just offset the coordinates
by value you use for the radius. (That would be [draw circle 80 80
80] for the above example.);
#X obj 53 153 draw circle 80 0 0;
#X text 52 374 The [draw] object above creates a circle with a radius
of 80 pixels \, with the center of the circle at (0 \, 0).;
#N canvas 291 300 450 300 META 0;
#X text 16 26 LICENSE SIBSD;
#X text 16 66 AUTHOR Jonathan Wilkes;
#X text 16 86 HELP_PATCH_AUTHORS Jonathan Wilkes;
#X text 16 6 KEYWORDS tutorial data_structure draw gui;
#X text 16 46 DESCRIPTION drawing a circle with the [draw] command
;
#X restore 568 522 pd META;
#X connect 0 0 12 0;
#X connect 8 0 12 0;
#X connect 9 0 12 0;
#X connect 10 0 9 0;
","#N struct drawtut-circle float x float y;
#N canvas 1 25 638 554 10;
#X msg 143 117 stroke blue;
#X text 52 484 Lines are only a single stroke. They don't have any
inner area to fill \, so none of the messages like ""fill"" or ""fill-rule""
have any effect.;
#X text 0 1 New Drawing Commands: circle;
#X text 0 1 ____________________________;
#X text 53 23 Circles are another simple shape.;
#X obj 53 57 struct drawtut-circle float x float y;
#X scalar drawtut-circle 157 283 \;;
#X text 268 273 <- a circle;
#X msg 53 117 fill yellow;
#X msg 228 117 stroke-width \$1;
#X floatatom 228 93 5 0 0 0 - - -, f 5;
#X text 51 414 Keep in mind that the coordinates for a circle specify
its center \, not the top left corner of the shape's bounding box.
But it's easy to that if you want to-- just offset the coordinates
by value you use for the radius. (That would be [draw circle 80 80
80] for the above example.);
#X obj 53 153 draw circle 80 0 0;
#X text 52 374 The [draw] object above creates a circle with a radius
of 80 pixels \, with the center of the circle at (0 \, 0).;
#X connect 0 0 12 0;
#X connect 8 0 12 0;
#X connect 9 0 12 0;
#X connect 10 0 9 0;
",27,tutorial data_structure draw gui,drawing a circle with the [draw] command,create a purr-data patch that matches the following description and keywords.," Description: drawing a circle with the [draw] command, Keywords: tutorial data_structure draw gui"
hid_one2two-help.pd,externals\hid\hid_one2two-help.pd,"#N canvas 0 31 473 316 10;
#X obj 5 2 cnv 15 450 20 empty empty hid_one2two 2 11 1 18 -233017
-66577 0;
#X obj 422 3 pddp/pddplink http://puredata.info/dev/pddp -text pddp
;
#X text 27 270 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 284 released under the GNU GPL;
#X floatatom 153 110 5 0 0 0 - - -;
#X floatatom 83 176 5 0 0 0 - - -;
#X obj 156 91 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X obj 86 203 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X text 98 243 For more info:;
#X floatatom 263 176 5 0 0 0 - - -;
#X obj 266 203 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X text 18 28 Simple one-to-two mapping object. The first inlet is
passed thru \, the range of the output data on the second inlet starts
at the point in the input range specified as an arugment.;
#X obj 153 145 hid/hid_one2two 0.3;
#N canvas 483 31 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL;
#X text 12 125 AUTHOR Hans-Christoph Steiner;
#X text 12 65 INLET_0 float;
#X text 12 105 OUTLET_1 float;
#X text 12 85 OUTLET_0 float;
#X text 12 45 DESCRIPTION simple one-to-two mapping object;
#X text 12 5 KEYWORDS control abstraction;
#X restore 419 270 pd META;
#X connect 4 0 12 0;
#X connect 5 0 7 0;
#X connect 6 0 4 0;
#X connect 9 0 10 0;
#X connect 12 0 5 0;
#X connect 12 1 9 0;
","#N canvas 0 31 473 316 10;
#X text 27 270 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 284 released under the GNU GPL;
#X floatatom 153 110 5 0 0 0 - - -;
#X floatatom 83 176 5 0 0 0 - - -;
#X obj 156 91 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X obj 86 203 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X text 98 243 For more info:;
#X floatatom 263 176 5 0 0 0 - - -;
#X obj 266 203 hsl 128 15 0 1 0 0 empty empty empty -2 -6 0 8 -262144
-1 -1 0 1;
#X text 18 28 Simple one-to-two mapping object. The first inlet is
passed thru \, the range of the output data on the second inlet starts
at the point in the input range specified as an arugment.;
#X obj 153 145 hid/hid_one2two 0.3;
#X connect 4 0 12 0;
#X connect 5 0 7 0;
#X connect 6 0 4 0;
#X connect 9 0 10 0;
#X connect 12 0 5 0;
#X connect 12 1 9 0;
",30,control abstraction,simple one-to-two mapping object,create a purr-data patch that matches the following description and keywords.," Description: simple one-to-two mapping object, Keywords: control abstraction"
tcpsend-help.pd,externals\mrpeach\net\tcpsend-help.pd,"#N canvas 1 53 559 320 12;
#X msg 85 175 disconnect;
#X msg 13 59 connect 127.0.0.1 9997;
#X obj 60 253 tgl 15 0 empty empty connected 20 7 0 8 -24198 -241291
-1 0 1;
#X obj 60 230 tcpsend;
#X text 217 60 <--first;
#X msg 32 83 send 0 1 2 3;
#X text 8 7 tcpsend sends bytes over a tcp connection.;
#X text 8 30 Used in conjunction with packOSC will send OSC over tcp
;
#X msg 50 106 send examples/test.txt;
#X obj 385 144 openpanel;
#X msg 385 168 send \$1;
#X obj 385 125 bng 15 250 50 0 empty empty empty 17 7 0 10 -24198 -241291
-1;
#X text 344 105 send a file;
#X text 407 124 ...any file;
#X text 148 84 send raw data;
#X text 137 134 'send' prefix is optional;
#X msg 61 133 99 98 97;
#X text 291 260 Martin Peach 2007/06/20;
#N canvas 507 340 494 344 META 0;
#X text 12 125 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2 or later;
#X text 12 105 AUTHOR Martin Peach;
#X text 12 45 DESCRIPTION send bytes over a tcp connection;
#X text 12 65 INLET_0 connect send list disconnect;
#X text 12 85 OUTLET_0 float;
#X text 12 5 KEYWORDS control network;
#X restore 490 290 pd META;
#X connect 0 0 3 0;
#X connect 1 0 3 0;
#X connect 3 0 2 0;
#X connect 5 0 3 0;
#X connect 8 0 3 0;
#X connect 9 0 10 0;
#X connect 10 0 3 0;
#X connect 11 0 9 0;
#X connect 16 0 3 0;
","#N canvas 1 53 559 320 12;
#X msg 85 175 disconnect;
#X msg 13 59 connect 127.0.0.1 9997;
#X obj 60 253 tgl 15 0 empty empty connected 20 7 0 8 -24198 -241291
-1 0 1;
#X obj 60 230 tcpsend;
#X text 217 60 <--first;
#X msg 32 83 send 0 1 2 3;
#X text 8 7 tcpsend sends bytes over a tcp connection.;
#X text 8 30 Used in conjunction with packOSC will send OSC over tcp
;
#X msg 50 106 send examples/test.txt;
#X obj 385 144 openpanel;
#X msg 385 168 send \$1;
#X obj 385 125 bng 15 250 50 0 empty empty empty 17 7 0 10 -24198 -241291
-1;
#X text 344 105 send a file;
#X text 407 124 ...any file;
#X text 148 84 send raw data;
#X text 137 134 'send' prefix is optional;
#X msg 61 133 99 98 97;
#X text 291 260 Martin Peach 2007/06/20;
#X connect 0 0 3 0;
#X connect 1 0 3 0;
#X connect 3 0 2 0;
#X connect 5 0 3 0;
#X connect 8 0 3 0;
#X connect 9 0 10 0;
#X connect 10 0 3 0;
#X connect 11 0 9 0;
#X connect 16 0 3 0;
",37,control network,send bytes over a tcp connection,create a purr-data patch that matches the following description and keywords.," Description: send bytes over a tcp connection, Keywords: control network"
metroplus-help.pd,externals\mjlib\metroplus-help.pd,"#N canvas 1 53 632 505 12;
#X obj 166 441 bng 15 250 50 0 empty empty empty 20 8 0 8 -262144 -1
-1;
#X msg 170 249 start;
#X msg 123 351 stop;
#X floatatom 460 286 5 0 0 0 - - -;
#X obj 173 393 metroplus 1000 500 1000 200;
#X msg 269 309 500 1000 200;
#X text 28 13 metroplus;
#X text 27 32 by mark williamson (mark@junklight.com);
#X obj 182 279 bng 15 250 50 0 empty empty empty 20 8 0 8 -262144 -1
-1;
#X text 27 65 metroplus is a variation on the metro object. Instead
of providing a steady pulse however it can provide an irregular beat.
It takes as its control a list of numbers representing intervals in
milliseconds. These are the time between each ""pulse"". So for example
with the initial setting below (in the metroplus object itself) - the
first pulse comes after 1 second the second after 500ms the third after
1 second and the fourth after 200ms - the next beat comming a second
after that because the sequence starts again.;
#X text 19 243 start with;
#X text 18 257 a start message;
#X text 18 274 or a 'bang'---->;
#X text 12 321 stop with a;
#X text 11 338 stop;
#X text 13 352 message--->;
#X text 245 286 set a new sequence;
#X text 457 322 it still works;
#X text 455 338 like a metro;
#X text 428 355 object if you want;
#X text 518 372 it to;
#N canvas 277 222 494 344 META 0;
#X text 12 155 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 135 AUTHOR Mark Williamson <mark@junklight.com>;
#X text 12 25 LICENSE GPL v2;
#X text 12 45 DESCRIPTION variation on the metro object -- instead
of providing a steady pulse it can provide an irregular beat;
#X text 12 75 INLET_0 bang start stop;
#X text 12 95 INLET_1 float list;
#X text 12 115 OUTLET_0 bang;
#X text 12 5 KEYWORDS control bang_op;
#X restore 508 455 pd META;
#X connect 1 0 4 0;
#X connect 2 0 4 0;
#X connect 3 0 4 1;
#X connect 4 0 0 0;
#X connect 5 0 4 1;
#X connect 8 0 4 0;
","#N canvas 1 53 632 505 12;
#X obj 166 441 bng 15 250 50 0 empty empty empty 20 8 0 8 -262144 -1
-1;
#X msg 170 249 start;
#X msg 123 351 stop;
#X floatatom 460 286 5 0 0 0 - - -;
#X obj 173 393 metroplus 1000 500 1000 200;
#X msg 269 309 500 1000 200;
#X text 28 13 metroplus;
#X text 27 32 by mark williamson (mark@junklight.com);
#X obj 182 279 bng 15 250 50 0 empty empty empty 20 8 0 8 -262144 -1
-1;
#X text 27 65 metroplus is a variation on the metro object. Instead
of providing a steady pulse however it can provide an irregular beat.
It takes as its control a list of numbers representing intervals in
milliseconds. These are the time between each ""pulse"". So for example
with the initial setting below (in the metroplus object itself) - the
first pulse comes after 1 second the second after 500ms the third after
1 second and the fourth after 200ms - the next beat comming a second
after that because the sequence starts again.;
#X text 19 243 start with;
#X text 18 257 a start message;
#X text 18 274 or a 'bang'---->;
#X text 12 321 stop with a;
#X text 11 338 stop;
#X text 13 352 message--->;
#X text 245 286 set a new sequence;
#X text 457 322 it still works;
#X text 455 338 like a metro;
#X text 428 355 object if you want;
#X text 518 372 it to;
#X connect 1 0 4 0;
#X connect 2 0 4 0;
#X connect 3 0 4 1;
#X connect 4 0 0 0;
#X connect 5 0 4 1;
#X connect 8 0 4 0;
",38,control bang_op,"variation on the metro object -- instead
of providing a steady pulse it can provide an irregular beat",create a purr-data patch that matches the following description and keywords.," Description: variation on the metro object -- instead
of providing a steady pulse it can provide an irregular beat, Keywords: control bang_op"
cconj~-help.pd,externals\creb\doc\cconj~-help.pd,"#N canvas 0 26 285 166 10;
#X text 49 5 complex conjugate;
#N canvas 331 92 494 353 META 0;
#X text 12 165 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 105 OUTLET_0 signal;
#X text 12 45 DESCRIPTION complex conjugate;
#X text 12 65 INLET_0 signal;
#X text 12 85 INLET_1 signal;
#X text 12 125 OUTLET_1 signal;
#X text 12 5 KEYWORDS signal abstraction needs_work (example patch)
;
#X text 12 145 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X text 12 25 LICENSE GPL v2;
#X restore 236 144 pd META;
#X obj 49 55 cconj~;
","#N canvas 0 26 285 166 10;
#X text 49 5 complex conjugate;
#X obj 49 55 cconj~;
",14,signal abstraction needs_work (example patch),complex conjugate,create a purr-data patch that matches the following description and keywords.," Description: complex conjugate, Keywords: signal abstraction needs_work (example patch)"
gauss-help.pd,externals\maxlib\gauss-help.pd,"#N canvas 0 26 487 308 12;
#X obj 70 95 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 70 192 5 0 0 0 - - -;
#X floatatom 123 91 5 0 0 0 - - -;
#X obj 70 140 gauss 1 0;
#X floatatom 177 113 5 0 0 0 - - -;
#X text 39 21 gauss :: Gauss distributed random numbers;
#X text 176 92 sigma - standard deviation;
#X text 230 114 mu - mean;
#N canvas 288 227 494 344 META 0;
#X text 12 165 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 145 AUTHOR Olaf Matthes <olaf.matthes@gmx.de>;
#X text 12 125 OUTLET_0 float;
#X text 12 45 DESCRIPTION Gauss distributed random numbers;
#X text 12 5 KEYWORDS control random;
#X text 12 65 INLET_0 bang;
#X text 12 85 INLET_1 float;
#X text 12 105 INLET_2 float;
#X restore 425 278 pd META;
#X connect 0 0 3 0;
#X connect 2 0 3 1;
#X connect 3 0 1 0;
#X connect 4 0 3 2;
","#N canvas 0 26 487 308 12;
#X obj 70 95 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 70 192 5 0 0 0 - - -;
#X floatatom 123 91 5 0 0 0 - - -;
#X obj 70 140 gauss 1 0;
#X floatatom 177 113 5 0 0 0 - - -;
#X text 39 21 gauss :: Gauss distributed random numbers;
#X text 176 92 sigma - standard deviation;
#X text 230 114 mu - mean;
#X connect 0 0 3 0;
#X connect 2 0 3 1;
#X connect 3 0 1 0;
#X connect 4 0 3 2;
",24,control random,Gauss distributed random numbers,create a purr-data patch that matches the following description and keywords.," Description: Gauss distributed random numbers, Keywords: control random"
unserialize-help.pd,externals\ggee\control\unserialize-help.pd,"#N canvas 0 31 450 300 10;
#X text 54 47 placeholder help patch;
#X obj 144 165 print;
#X floatatom 125 89 5 0 0 0 - - -;
#X obj 140 126 unserialize 4;
#N canvas 391 259 494 344 META 0;
#X text 12 125 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE Tcl/Tk;
#X text 12 105 AUTHOR Guenter Geiger;
#X text 12 5 KEYWORDS control conversion;
#X text 12 65 INLET_0 float;
#X text 12 45 DESCRIPTION turn a stream of floats into a list;
#X text 12 85 OUTLET_0 list;
#X restore 390 260 pd META;
#X connect 2 0 3 0;
#X connect 3 0 1 0;
","#N canvas 0 31 450 300 10;
#X text 54 47 placeholder help patch;
#X obj 144 165 print;
#X floatatom 125 89 5 0 0 0 - - -;
#X obj 140 126 unserialize 4;
#X connect 2 0 3 0;
#X connect 3 0 1 0;
",16,control conversion,turn a stream of floats into a list,create a purr-data patch that matches the following description and keywords.," Description: turn a stream of floats into a list, Keywords: control conversion"
