Object Name,Description
bang,output a bang message
change,remove repeated numbers from a stream
float,store and recall a number
int,store and recall an integer
list,manipulate lists
list append,manipulate lists
list fromsymbol,manipulate lists
list length,manipulate lists
list prepend,manipulate lists
list split,manipulate lists
list store,manipulate lists
list tosymbol,manipulate lists
list trim,manipulate lists
makefilename,format a symbol with a variable field
moses,part a numeric stream
pack,make compound messages
print,print messages to terminal window
receive,Receive messages without patch cords.
route,route messages according to first element
select,test for matching numbers or symbols
send,Send messages without patch cords.
spigot,pass or block messages
swap,swap two numbers
symbol,store and recall a symbol
trace,message tracing for debugging
trigger,sequence messages in right-to-left order.
t, sequence messages in right-to-left order.
unpack,get elements of compound messages
until,looping mechanism
value,shared numeric value
cputime,measure CPU time
delay,send a message after a time delay
line,send a series of linearly stepped numbers
metro,send a message periodically
pipe,dynamically growable delay line for numbers
realtime,measure real time
timer,measure time intervals
!=,relational tests
*,multiply two numbers
/,divide two numbers
&,bit twiddling
&&,bit twiddling
%,higher math
+,add two numbers
<,relational tests
<<,bit twiddling
<=,relational tests
==,relational tests
>,relational tests
>=,relational tests
>>,bit twiddling
|,bit twiddling
||,bit twiddling
abs,math functions
atan,trigonometric functions
atan2,trigonometric functions
clip,force a number into a range
cos,trigonometric functions
dbtopow,convert acoustical units
dbtorms,convert acoustical units
div,higher math
exp,math functions
expr,evaluation of control data expressions
ftom,convert acoustical units
log,math functions
max,maximum of 2 numbers
min,minimum of two numbers
mod,higher math
mtof,convert acoustical units
pow,math functions
powtodb,convert acoustical units
random,pseudo random integers
rmstodb,convert acoustical units
sin,trigonometric functions
sqrt,math functions
tan,trigonometric functions
wrap,"wrap a number to range [[0,1)"
bendin,MIDI input
bendout,MIDI output
ctlin,MIDI input
ctlout,MIDI output
fudiformat,FUDI messages to and from Pd lists
fudiparse,FUDI messages to and from Pd lists
makenote,schedule delayed 'note off' message for a note-on
midiin,MIDI input
midiout,MIDI output
midirealtimein,MIDI input
notein,MIDI input
noteout,MIDI output
oscformat,OSC messages to and from Pd lists
oscparse,OSC messages to and from Pd lists
pgmin,MIDI input
pgmout,MIDI output
poly,MIDI-style polyphonic voice allocator.
polytouchin,MIDI input
polytouchout,MIDI output
stripnote,strip 'note off' messages
sysexin,MIDI input
touchin,MIDI input
touchout,MIDI output
array,general array creation and manipulation
array define,create an array.
array get,get contents as a list.
array max,output maximum value of an array.
array min,output minimum value of an array.
array quantile,outputs the specified quantile.
array random,array as probabilities.
array set,set contents from a list.
array size,output or set array size.
array sum,sum all or a range of elements.
garray,graphical array (messages received via array name).
soundfiler,read and write tables to soundfiles
table,subpatch with array.
tabread,read a number from a table
tabwrite,write a number to a table
bag,collection of numbers
declare,set environment for loading patch
file,low-level file operations
file copy,copy a file around.
file define,share file handles.
file delete,remove files and directories.
file glob,find pathnames matching a pattern
file handle,operate on file handles.
file isdirectory,check if path is an existing directory
file isfile,check if path is an existing regular file.
file join,'join' a list of components using '/' as the separator.
file mkdir,create directories
file move,move a file to a new destination.
file size,get size of a file
file split,'split' path into components
file splitext,separates directory+file and extension.
file splitname,separates directory an file components.
file stat,get metainformation about a file/directory
file which,locate a file
key,grab keyboard input
keyname,grab keyboard input
keyup,grab keyboard input
loadbang,bang on load
netreceive,listen for incoming messages from network
netsend,send Pd messages over a network
openpanel,query for files or directories.
pdcontrol,communicate with pd and/or this patch
qlist,text-based sequencer
savepanel,query you for the name of a file to create.
savestate,save and restore run-time state from within an abstraction
text,manage a list of messages
text define,"create, store, and/or edit texts"
text delete,delete a line or clear.
text fromlist,convert from list.
text get,read and output a line.
text insert,insert a line.
text search,search for a line.
text sequence,sequencer/message-sender.
text set,replace or add a line
text size,get number of lines or elements.
text tolist,convert text to a list.
textfile,read and write text files
-~,binary operators on audio signals
*~,binary operators on audio signals
/~,binary operators on audio signals
+~,binary operators on audio signals
