roy:~/Desktop stfi$ ./Pd-0.39.2-extended-2006-12-06.app/Contents/MacOS/Pd-0.39.2-extended-2006-12-06        
input channels = 2, output channels = 2
Pd version 0.39-2extended-2006-12-06
compiled 20:04:53 Dec  6 2006
input channels = 2, output channels = 2
input device 0, channels 2
output device 0, channels 2
framesperbuf 64, nbufs 34
... opened OK.
tried /Users/stfi/Desktop/Gem.pd_darwin and failed
tried /System/Library/Fonts/Gem.pd_darwin and failed
tried /Library/Fonts/Gem.pd_darwin and failed
tried ~/Library/Fonts/Gem.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/Gem.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/Gem.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/Gem.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/Gem.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/Gem.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/Gem.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/Gem.pd_darwin and succeeded
GEM: Graphics Environment for Multimedia
GEM: ver: 0.91-cvs
GEM: compiled: Dec  6 2006
GEM: maintained by IOhannes m zmoelnig
GEM: Authors :  Mark Danks (original version)
GEM:            Chris Clepper
GEM:            James Tittle
GEM:            IOhannes m zmoelnig
GEM: with help by Guenter Geiger, Daniel Heckenberg, Cyrille Henry, et al.
GEM: using SSE2 optimization
tried /Users/stfi/Desktop/cyclone.pd_darwin and failed
tried /System/Library/Fonts/cyclone.pd_darwin and failed
tried /Library/Fonts/cyclone.pd_darwin and failed
tried ~/Library/Fonts/cyclone.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cyclone.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/cyclone.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone.pd_darwin and failed
tried /Users/stfi/Desktop/cyclone/cyclone.pd_darwin and failed
tried /System/Library/Fonts/cyclone/cyclone.pd_darwin and failed
tried /Library/Fonts/cyclone/cyclone.pd_darwin and failed
tried ~/Library/Fonts/cyclone/cyclone.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cyclone/cyclone.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cyclone/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/cyclone/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/cyclone/cyclone.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cyclone/cyclone.pd_darwin and failed
